"統計名：","都道府県データ 基礎データ"
"表番号：","0000010104"
"表題：","Ｄ　行政基盤"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ｄ　行政基盤 コード","D2101","D2102","D2103","D3101","D310101","D310103","D310108","D3102","D3103","D310303","D3103032","D3103033","D310304","D310308","D310311","D310313","D310401","D3105"
"","","","","","","/Ｄ　行政基盤 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"調査年 コード","調査年 補助コード","調査年","地域 コード","地域 補助コード","地域","/Ｄ　行政基盤","D2101_財政力指数（都道府県財政）【‐】","D2102_実質収支比率（都道府県財政）【％】","D2103_経常収支比率（都道府県財政）【％】","D3101_歳入決算総額（都道府県財政）【千円】","D310101_地方税（都道府県財政）【千円】","D310103_地方交付税（都道府県財政）【千円】","D310108_国庫支出金（都道府県財政）【千円】","D3102_自主財源額（都道府県財政）【千円】","D3103_歳出決算総額（都道府県財政）【千円】","D310303_民生費（都道府県財政）【千円】","D3103032_老人福祉費（都道府県財政）【千円】","D3103033_児童福祉費（都道府県財政）【千円】","D310304_衛生費（都道府県財政）【千円】","D310308_土木費（都道府県財政）【千円】","D310311_教育費（都道府県財政）【千円】","D310313_公債費（都道府県財政）（目的別歳出内訳）【千円】","D310401_人件費（都道府県財政）【千円】","D3105_地方債現在高（都道府県財政）【千円】"
"2017100000","","2017年度","18000","","福井県","","0.40661","1.5","96.1","461,396,606","120,537,658","130,455,067","74,253,668","181,730,027","451,217,611","53,642,725","22,577,307","13,062,745","12,668,168","70,478,752","96,104,389","84,438,515","115,369,322","819,458,666"
"2017100000","","2017年度","19000","","山梨県","","0.41384","1.8","96.5","462,932,018","114,451,378","128,062,585","54,682,456","200,474,260","446,066,984","55,847,784","24,239,082","11,495,985","14,324,167","78,395,652","88,975,229","83,692,992","114,151,432","952,296,019"
"2017100000","","2017年度","20000","","長野県","","0.51476","1.0","95.1","819,490,230","274,773,737","201,347,604","100,763,808","366,273,513","808,439,310","126,434,259","60,470,744","19,539,338","21,952,816","106,893,854","209,813,978","134,852,151","252,504,799","1,564,374,347"
"2017100000","","2017年度","21000","","岐阜県","","0.54366","1.2","94.0","764,531,070","266,772,434","173,700,653","86,658,597","351,847,051","750,933,372","118,623,540","54,403,952","20,999,725","22,710,403","93,628,179","184,767,037","113,059,318","226,225,613","1,556,755,174"
"2017100000","","2017年度","22000","","静岡県","","0.72822","0.9","94.5","1,171,478,994","556,619,879","145,634,392","116,115,002","667,629,687","1,155,598,609","187,183,217","84,817,641","37,409,490","49,978,953","122,762,645","243,299,251","196,573,801","301,248,310","2,744,422,482"
"2017100000","","2017年度","23000","","愛知県","","0.92554","1.5","99.1","2,282,711,847","1,231,373,367","71,864,407","195,175,846","1,565,120,104","2,254,887,477","365,190,025","154,315,084","76,285,385","45,976,869","184,079,754","479,333,236","387,191,321","592,196,059","4,783,148,119"
"2017100000","","2017年度","24000","","三重県","","0.59431","0.4","98.0","688,792,950","260,275,786","139,274,928","80,697,587","318,631,975","676,040,385","113,561,361","48,808,401","24,747,248","26,146,183","72,917,267","178,210,740","123,003,834","218,560,311","1,413,348,794"
"2017100000","","2017年度","25000","","滋賀県","","0.56352","0.3","95.5","512,305,768","190,095,235","115,752,473","59,697,589","236,360,186","508,238,077","79,678,180","32,532,489","19,616,861","19,483,256","58,400,588","145,438,085","79,416,441","167,958,978","1,072,586,061"
"2017100000","","2017年度","26000","","京都府","","0.58837","0.2","94.6","878,651,559","334,538,245","169,078,848","76,015,551","481,646,991","874,877,256","165,776,025","73,462,558","31,046,659","23,473,813","67,609,648","168,916,151","109,285,486","213,820,807","2,026,645,515"
"2017100000","","2017年度","27000","","大阪府","","0.77760","0.5","100.5","2,670,045,873","1,328,869,569","244,770,190","220,829,698","1,807,212,984","2,647,594,211","522,273,956","227,998,900","98,076,826","66,595,371","209,022,036","531,044,569","406,675,709","676,672,906","5,410,018,091"
"2017100000","","2017年度","28000","","兵庫県","","0.64078","0.1","95.4","1,941,805,730","723,040,976","300,319,605","171,314,257","1,146,622,733","1,931,111,121","315,269,676","136,578,059","65,780,595","52,853,034","171,165,435","376,154,306","341,085,035","471,978,316","4,472,244,986"
"2017100000","","2017年度","29000","","奈良県","","0.42603","0.6","94.6","498,846,800","146,746,601","156,733,722","60,641,879","186,595,439","492,304,509","84,896,053","36,494,579","15,444,124","38,958,222","60,331,756","120,202,678","82,635,096","144,134,721","1,113,855,658"
"2017100000","","2017年度","30000","","和歌山県","","0.32950","2.0","92.1","532,338,463","108,128,102","172,472,819","73,307,023","201,767,642","518,621,711","73,763,732","30,736,277","14,031,036","13,790,474","85,614,517","105,840,991","74,329,564","137,705,117","1,023,752,020"
"2017100000","","2017年度","31000","","鳥取県","","0.27262","1.4","92.7","365,535,049","66,401,665","137,437,300","53,309,326","112,529,724","359,247,009","46,737,344","18,303,476","13,194,655","15,044,155","54,130,437","70,130,329","66,430,142","89,616,072","638,075,022"
"2017100000","","2017年度","32000","","島根県","","0.25957","3.0","91.0","493,233,363","80,604,106","183,205,645","69,242,441","168,692,344","473,608,648","54,173,929","24,908,688","12,318,882","17,820,808","72,151,067","95,913,830","88,962,628","118,692,995","955,380,561"
"2017100000","","2017年度","33000","","岡山県","","0.52709","0.4","96.3","676,305,039","251,618,522","160,084,030","64,780,844","346,930,651","669,030,178","111,463,519","55,540,703","19,943,504","17,123,083","60,352,449","146,195,749","107,020,665","189,290,812","1,348,083,738"
"2017100000","","2017年度","34000","","広島県","","0.61476","0.3","96.3","899,318,331","386,249,528","171,564,969","94,342,953","485,674,651","887,433,102","159,951,125","75,137,042","32,542,642","35,999,221","80,491,413","188,533,291","158,525,147","237,471,489","2,089,219,906"
"2017100000","","2017年度","35000","","山口県","","0.45250","1.3","94.1","625,762,201","180,715,192","169,624,629","79,478,577","274,049,078","615,865,340","92,015,444","44,409,959","17,522,328","20,093,776","73,635,951","140,520,505","109,563,264","179,511,813","1,246,585,680"
"2017100000","","2017年度","36000","","徳島県","","0.33399","3.4","93.1","481,819,916","92,577,230","149,189,148","53,595,557","214,039,880","459,630,411","60,636,081","27,598,885","12,034,215","26,422,082","47,755,237","82,914,734","76,162,075","113,662,739","842,963,782"
"2017100000","","2017年度","37000","","香川県","","0.48738","2.0","96.7","460,728,318","135,107,965","109,838,872","44,878,950","225,663,350","451,403,627","65,472,156","28,881,426","12,423,119","18,926,303","48,253,607","96,748,454","70,139,181","124,084,672","868,469,529"
"2017100000","","2017年度","38000","","愛媛県","","0.43420","0.6","90.4","629,499,168","166,509,638","167,911,539","79,954,464","284,199,789","614,958,119","94,750,886","43,178,969","17,215,019","25,916,080","74,857,253","137,244,793","87,635,823","166,229,565","1,035,114,823"
"2017100000","","2017年度","39000","","高知県","","0.26847","0.8","97.3","472,385,325","79,904,593","171,935,426","71,404,454","134,794,618","460,710,254","64,390,739","26,658,072","14,326,942","16,746,685","75,132,879","108,723,267","79,092,916","115,102,776","857,574,802"
"2017100000","","2017年度","40000","","福岡県","","0.64281","0.8","96.8","1,659,599,934","660,081,826","257,328,630","185,978,243","882,759,144","1,613,717,067","342,174,835","136,684,848","82,882,957","44,896,640","155,671,959","301,799,136","223,132,435","383,556,366","3,574,555,412"
