"統計名：","都道府県データ 基礎データ"
"表番号：","0000010104"
"表題：","Ｄ　行政基盤"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ｄ　行政基盤 コード","D2101","D2102","D2103","D3101","D310101","D310103","D310108","D3102","D3103","D310303","D3103032","D3103033","D310304","D310308","D310311","D310313","D310401","D3105"
"","","","","","","/Ｄ　行政基盤 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"調査年 コード","調査年 補助コード","調査年","地域 コード","地域 補助コード","地域","/Ｄ　行政基盤","D2101_財政力指数（都道府県財政）【‐】","D2102_実質収支比率（都道府県財政）【％】","D2103_経常収支比率（都道府県財政）【％】","D3101_歳入決算総額（都道府県財政）【千円】","D310101_地方税（都道府県財政）【千円】","D310103_地方交付税（都道府県財政）【千円】","D310108_国庫支出金（都道府県財政）【千円】","D3102_自主財源額（都道府県財政）【千円】","D3103_歳出決算総額（都道府県財政）【千円】","D310303_民生費（都道府県財政）【千円】","D3103032_老人福祉費（都道府県財政）【千円】","D3103033_児童福祉費（都道府県財政）【千円】","D310304_衛生費（都道府県財政）【千円】","D310308_土木費（都道府県財政）【千円】","D310311_教育費（都道府県財政）【千円】","D310313_公債費（都道府県財政）（目的別歳出内訳）【千円】","D310401_人件費（都道府県財政）【千円】","D3105_地方債現在高（都道府県財政）【千円】"
"2022100000","","2022年度","36000","","徳島県","","0.31200","4.5","90.9","563,618,625","103,404,880","161,189,588","108,874,878","232,405,853","535,631,500","69,486,706","32,243,534","14,918,547","56,356,120","70,824,649","79,104,858","68,510,329","110,304,821","791,990,372"
"2022100000","","2022年度","37000","","香川県","","0.45137","2.4","94.0","515,593,484","146,612,420","129,683,598","100,876,252","235,328,066","501,282,880","73,037,386","33,926,199","15,198,974","41,905,893","48,631,187","95,567,698","60,340,388","120,998,488","824,419,797"
"2022100000","","2022年度","38000","","愛媛県","","0.42197","1.6","87.6","734,178,021","192,499,721","185,084,137","145,501,027","321,322,990","707,431,134","105,873,364","47,800,106","21,061,382","58,747,654","87,477,101","128,400,087","80,772,481","162,201,867","994,691,862"
"2022100000","","2022年度","39000","","高知県","","0.26114","1.4","95.5","496,689,021","90,032,222","185,845,881","114,265,972","124,367,129","483,483,446","68,952,064","30,226,571","14,536,273","37,842,565","80,561,213","92,092,785","68,847,963","112,119,533","892,009,783"
"2022100000","","2022年度","40000","","福岡県","","0.62027","3.1","96.2","2,277,786,328","734,299,021","293,949,451","434,893,063","1,251,741,102","2,203,057,341","380,099,246","159,720,122","82,007,314","185,157,156","181,756,018","317,873,677","297,130,437","384,029,775","3,805,307,859"
"2022100000","","2022年度","41000","","佐賀県","","0.34091","4.2","93.5","613,699,133","118,994,050","159,157,259","122,855,891","237,228,601","595,781,190","72,262,995","29,000,161","20,187,245","38,791,480","67,761,934","123,688,312","62,052,381","123,936,403","760,417,763"
"2022100000","","2022年度","42000","","長崎県","","0.33263","0.3","94.3","802,100,998","164,659,808","237,486,417","205,841,362","263,582,960","786,301,848","112,554,480","47,287,236","25,575,276","63,391,313","101,412,459","147,376,573","93,879,820","181,285,385","1,248,578,743"
"2022100000","","2022年度","43000","","熊本県","","0.39703","5.7","90.5","1,028,620,307","224,737,382","233,540,055","263,529,557","398,475,829","978,345,151","147,566,588","62,706,233","39,096,754","95,998,970","113,157,314","134,983,903","105,300,966","170,761,549","1,664,929,258"
"2022100000","","2022年度","44000","","大分県","","0.37136","2.7","92.1","736,303,105","155,940,250","187,801,616","166,914,522","290,092,995","699,396,596","95,501,153","41,840,193","22,989,015","47,427,978","102,938,174","115,774,472","78,177,018","148,867,393","1,066,752,993"
"2022100000","","2022年度","45000","","宮崎県","","0.34084","4.4","91.0","722,275,169","143,712,411","197,309,588","162,662,343","274,435,104","690,519,290","96,235,505","35,404,458","28,793,891","57,064,875","82,904,181","115,144,853","80,180,090","144,865,766","838,426,432"
"2022100000","","2022年度","46000","","鹿児島県","","0.33868","4.4","97.8","975,815,228","204,328,293","288,627,406","259,507,806","314,512,165","921,475,579","151,118,120","63,027,378","38,946,394","82,679,286","103,615,024","188,231,651","119,864,671","224,238,838","1,555,293,035"
"2022100000","","2022年度","47000","","沖縄県","","0.35962","1.4","94.8","932,266,646","184,205,358","235,676,733","303,100,739","331,189,998","912,192,057","150,354,959","37,370,322","47,729,547","95,630,024","77,349,871","176,490,200","67,858,795","203,562,186","564,686,266"
