"統計名：","都道府県データ 基礎データ"
"表番号：","0000010106"
"表題：","Ｆ　労働"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ｆ　労働 コード","F1201","F120101","F120102","F1202","F120201","F120202","F1203","F1204","F1205","F120501","F120502","F1206","F1207","F1208","F2501","F250101","F250102","F2502","F2503","F3101","F3102","F3103","F310301","F3104","F3105","F3106","F310603","F3107","F3108","F3201","F3202","F3211","F3212","F3221","F3222","F3230","F3240","F3241","F3242","F3301","F3302","F3311","F3312","F3321","F3322","F340101","F340102","F340103","F340201","F340202","F340203","F341101","F341102","F341103","F341201","F341202","F341203","F341204","F341205","F341206","F3502","F35021","F350210","F350220","F350221","F4101","F4102","F4103","F4104","F4105","F4106","F4107","F4108","F4201","F4202","F420211","F4203","F4204","F4205","F610101","F610102","F610201","F610202","F610203","F610204","F610205","F610206","F620101","F620102","F620201","F620202","F620215","F620216","F620217","F620218","F6204","F6205","F6206","F6207","F6301","F6302","F6303","F6401","F6402","F6403","F6404","F6407","F6408","F6409","F6410","F6411","F6412","F6501","F8101","F8102","F9101","F9102","F9201","F9202","F9203"
"2017100000","","2017年度","08000","","茨城県","","2,535","1,258","1,277","1,515","872","643","1,265","249","1,020","386","634","465","143","412","1,335","755","581","137","38","72,520","285,133","393,717","1.50","20,996","22,483","18,617","***","45,452","***","36,904","270","151,537","937","13,107","2,019","10,274","3,016","***","***","20","5,002","12","10,455","18","4,996","26,730","12,670","3,018","9,324","4,543","868","7,686","3,076","489","19,787","8,359","1,071","***","***","***","1,927","***","460","1,467","383","1,208","79","27","152","61","60","191","823","1,345","67","4.4","61","76","948","165","163","17","9","***","***","***","***","371.1","251.4","331.6","232.0","***","***","***","***","1,039","1,176","***","***","18.6","19.2","17.7","164.2","158.3","206.3","173.1","***","***","***","***","***","***","796","1.65","0.06","929","194,083","12","118","70"
"2017100000","","2017年度","09000","","栃木県","","1,709","845","864","1,034","589","445","868","166","675","256","419","296","95","283","915","509","406","95","21","59,859","242,119","310,225","1.37","18,405","19,474","16,422","***","35,774","***","28,868","108","123,257","488","10,650","1,636","8,490","2,877","***","***","13","3,638","20","7,641","11","3,626","20,808","9,983","2,151","7,807","3,908","736","6,549","2,661","339","15,489","6,800","845","***","***","***","1,635","***","438","1,197","389","818","51","18","104","40","44","130","540","911","52","5.0","39","50","628","169","165","18","10","***","***","***","***","362.8","252.0","322.1","232.6","***","***","***","***","980","1,083","***","***","18.9","19.8","17.8","163.0","160.5","206.0","177.8","***","***","***","***","***","***","800","1.01","0.03","692","152,441","2","0","0"
"2017100000","","2017年度","10000","","群馬県","","1,717","843","874","1,029","583","446","846","182","688","260","428","310","100","278","912","508","404","91","25","48,320","188,049","267,201","1.62","14,574","15,256","12,811","***","31,084","***","24,172","1,057","97,817","3,821","9,827","1,558","7,946","2,151","***","***","17","3,168","16","8,261","14","3,165","17,510","7,675","1,580","6,021","2,750","463","5,239","1,986","222","13,582","5,923","1,004","***","***","***","1,336","***","414","922","286","812","58","20","106","46","41","122","564","907","52","5.1","40","52","644","167","165","19","8","***","***","***","***","350.4","242.9","311.2","226.6","***","***","***","***","1,036","1,122","***","***","19.0","19.7","18.1","167.1","159.3","204.0","168.6","***","***","***","***","***","***","783","1.85","0.11","700","134,917","2","0","0"
"2017100000","","2017年度","11000","","埼玉県","","6,407","3,183","3,223","3,907","2,247","1,660","3,145","760","2,500","937","1,563","1,213","381","904","3,561","2,017","1,544","283","52","142,747","630,139","692,959","1.26","27,725","32,261","21,774","***","99,384","***","73,878","286","341,908","1,157","21,812","3,532","37,362","13,602","***","***","28","7,041","95","16,339","28","7,041","57,577","26,963","7,220","22,130","10,501","2,319","12,772","5,185","894","43,211","17,268","2,857","***","***","***","4,024","***","934","3,090","964","3,034","243","83","426","192","148","539","1,933","3,361","217","5.6","149","242","2,313","169","163","18","10","***","***","***","***","362.4","261.0","325.2","242.0","***","***","***","***","1,092","1,142","***","***","18.1","19.2","16.8","171.0","171.2","210.2","180.1","***","***","***","***","***","***","871","2.27","0.05","1,697","354,317","7","0","0"
"2017100000","","2017年度","12000","","千葉県","","5,487","2,712","2,775","3,274","1,887","1,387","2,659","615","2,213","825","1,389","1,093","302","816","2,963","1,683","1,279","241","62","112,270","532,527","602,897","1.28","23,755","30,123","20,178","***","77,859","***","57,305","111","278,333","534","19,237","2,984","26,649","9,387","***","***","16","5,690","107","13,070","14","5,631","46,320","22,520","6,451","19,079","9,279","2,143","12,380","5,240","992","32,441","14,010","2,732","***","***","***","3,351","***","861","2,490","805","2,523","223","83","350","157","127","464","1,708","2,821","190","5.8","130","188","2,026","166","162","15","9","***","***","***","***","373.6","280.0","338.7","260.4","***","***","***","***","1,138","1,227","***","***","18.0","19.1","16.8","167.9","164.1","211.4","191.7","***","***","***","***","***","***","868","2.07","0.12","1,344","432,512","8","0","0"
"2017100000","","2017年度","13000","","東京都","","12,177","5,967","6,210","7,887","4,433","3,454","6,580","1,303","4,290","1,534","2,756","2,056","708","1,523","7,151","3,961","3,190","624","84","326,193","1,505,384","2,743,679","2.09","99,432","71,673","60,945","***","383,616","***","133,443","697","611,664","3,613","44,684","8,937","58,893","30,264","***","***","30","6,283","215","48,689","30","6,279","135,826","65,108","15,897","53,626","25,146","5,230","31,262","13,775","2,867","156,678","57,336","8,721","***","***","***","6,809","***","1,826","4,983","1,529","5,921","677","282","871","392","290","1,022","3,154","6,744","446","5.7","259","489","3,899","163","159","13","10","***","***","***","***","447.8","324.9","414.6","303.0","***","***","***","***","1,293","1,328","***","***","18.0","18.8","16.9","174.0","169.9","217.4","188.7","***","***","***","***","***","***","958","1.48","0.13","7,193","2,259,743","112","699","905"
"2017100000","","2017年度","14000","","神奈川県","","8,027","3,986","4,042","4,901","2,834","2,067","3,931","970","3,127","1,152","1,975","1,528","469","1,127","4,536","2,605","1,932","301","51","172,678","772,339","830,324","1.18","30,208","34,557","24,314","***","131,200","***","84,141","3,346","374,873","10,483","24,187","4,391","42,239","15,335","***","***","22","5,197","103","13,375","22","5,194","76,275","36,232","9,502","29,053","13,859","2,910","15,497","6,548","1,150","56,537","22,215","4,018","***","***","***","4,220","***","1,077","3,143","1,121","3,767","371","132","536","247","170","668","2,419","4,221","260","5.3","193","314","2,871","165","162","17","9","***","***","***","***","398.7","286.2","358.8","267.7","***","***","***","***","1,164","1,205","***","***","17.7","18.8","16.4","170.8","173.6","208.4","187.7","***","***","***","***","***","***","956","1.78","0.07","2,419","587,513","3","99","98"
"2017100000","","2017年度","15000","","新潟県","","2,000","960","1,040","1,165","649","517","1,002","163","834","311","523","358","116","360","1,024","563","461","109","30","75,331","273,175","408,052","1.56","27,448","27,777","26,287","***","43,742","***","35,518","207","142,124","716","14,896","2,785","9,232","3,380","***","***","1","3,386","4","8,793","1","3,386","27,451","13,669","3,764","8,721","4,365","936","8,847","3,424","487","19,248","8,603","1,263","***","***","***","1,809","***","496","1,313","364","913","59","16","121","45","60","129","698","1,049","52","4.4","47","48","777","168","165","15","7","***","***","***","***","313.5","229.2","283.6","216.1","***","***","***","***","969","1,081","***","***","19.7","20.2","19.1","162.5","151.9","189.9","168.4","***","***","***","***","***","***","778","1.77","0.05","1,055","163,019","3","0","0"
"2017100000","","2017年度","16000","","富山県","","931","447","484","554","305","249","478","77","377","142","235","163","53","161","505","272","232","41","8","30,100","109,960","187,365","1.86","11,643","11,801","11,005","***","19,917","***","15,867","132","66,009","375","6,710","1,555","4,119","1,572","***","***","2","1,974","3","5,146","2","1,973","11,318","5,512","1,634","3,608","1,808","442","4,198","1,640","258","8,819","3,899","670","***","***","***","1,109","***","300","809","181","441","27","7","56","20","27","52","325","498","24","4.3","19","24","355","168","166","16","9","***","***","***","***","327.1","233.9","294.4","218.8","***","***","***","***","992","1,031","***","***","19.3","19.9","18.7","162.9","157.4","202.1","164.4","***","***","***","***","***","***","795","1.17","0.22","594","87,600","0","0","0"
"2017100000","","2017年度","17000","","石川県","","1,001","481","520","610","331","279","514","96","391","150","241","162","65","164","546","288","258","53","11","32,371","124,475","203,658","1.89","11,404","11,378","10,309","***","22,078","***","15,475","88","66,712","250","6,335","1,091","5,978","2,291","***","***","3","2,001","2","5,467","3","2,001","11,939","5,906","1,639","4,014","2,038","481","4,068","1,726","283","9,550","4,292","829","***","***","***","1,249","***","288","961","163","485","34","8","59","22","28","58","329","542","27","4.4","20","32","367","168","165","17","8","***","***","***","***","339.5","242.2","303.4","228.1","***","***","***","***","1,002","1,062","***","***","19.3","19.9","18.6","169.0","155.8","199.6","160.7","***","***","***","***","***","***","781","1.31","0.16","543","77,970","0","0","0"
