"統計名：","都道府県データ 基礎データ"
"表番号：","0000010106"
"表題：","Ｆ　労働"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ｆ　労働 コード","F1201","F120101","F120102","F1202","F120201","F120202","F1203","F1204","F1205","F120501","F120502","F1206","F1207","F1208","F2501","F250101","F250102","F2502","F2503","F3101","F3102","F3103","F310301","F3104","F3105","F3106","F310603","F3107","F3108","F3201","F3202","F3211","F3212","F3221","F3222","F3230","F3240","F3241","F3242","F3301","F3302","F3311","F3312","F3321","F3322","F340101","F340102","F340103","F340201","F340202","F340203","F341101","F341102","F341103","F341201","F341202","F341203","F341204","F341205","F341206","F3502","F35021","F350210","F350220","F350221","F4101","F4102","F4103","F4104","F4105","F4106","F4107","F4108","F4201","F4202","F420211","F4203","F4204","F4205","F610101","F610102","F610201","F610202","F610203","F610204","F610205","F610206","F620101","F620102","F620201","F620202","F620215","F620216","F620217","F620218","F6204","F6205","F6206","F6207","F6301","F6302","F6303","F6401","F6402","F6403","F6404","F6407","F6408","F6409","F6410","F6411","F6412","F6501","F8101","F8102","F9101","F9102","F9201","F9202","F9203"
"2017100000","","2017年度","18000","","福井県","","677","326","351","422","231","192","362","61","255","96","160","105","40","110","374","200","174","41","7","19,441","71,972","132,724","2.02","8,658","8,791","8,101","***","16,223","***","11,764","157","47,690","446","5,977","959","3,588","1,310","***","***","0","1,470","5","3,886","0","1,470","6,790","3,359","844","2,295","1,202","258","2,813","1,194","184","7,116","3,176","499","***","***","***","796","***","219","577","150","339","23","6","37","12","20","35","220","381","19","4.5","13","18","241","168","166","15","7","***","***","***","***","339.3","235.2","306.4","219.3","***","***","***","***","992","1,044","***","***","19.1","19.7","18.4","163.0","153.8","196.3","171.5","***","***","***","***","***","***","778","1.63","0.05","432","55,356","0","0","0"
"2017100000","","2017年度","19000","","山梨県","","724","352","372","442","247","195","368","74","282","104","178","124","47","111","374","202","172","54","13","24,121","93,787","123,949","1.41","7,612","7,987","7,101","***","12,673","***","13,219","294","54,933","831","4,893","1,007","3,154","1,039","***","***","9","1,248","16","2,667","8","1,244","8,944","3,994","829","3,097","1,445","264","2,881","1,170","175","5,757","2,414","456","***","***","***","669","***","175","494","143","355","25","8","43","18","17","52","230","396","20","4.6","16","21","264","166","165","17","9","***","***","***","***","346.3","243.8","309.7","226.2","***","***","***","***","1,004","1,114","***","***","18.9","19.7","18.1","162.2","158.1","207.1","167.3","***","***","***","***","***","***","784","1.21","0.14","324","43,638","1","0","0"
"2017100000","","2017年度","20000","","長野県","","1,814","877","937","1,112","618","493","923","188","702","259","444","318","106","279","960","515","445","128","22","60,552","239,248","382,130","1.63","21,522","21,758","20,331","***","38,021","***","31,975","766","141,085","2,827","13,276","2,151","9,058","2,703","***","***","10","3,311","20","6,686","9","3,298","22,468","10,487","2,639","7,819","3,733","756","7,316","2,866","394","17,224","7,477","1,085","***","***","***","2,077","***","495","1,582","372","889","63","20","105","44","44","118","583","994","46","4.1","37","56","660","168","164","16","9","***","***","***","***","337.4","239.4","302.4","222.3","***","***","***","***","1,033","1,211","***","***","19.3","19.9","18.5","162.7","162.3","199.1","171.1","***","***","***","***","***","***","795","1.78","0.03","1,444","174,978","5","184","89"
"2017100000","","2017年度","21000","","岐阜県","","1,749","840","909","1,059","584","475","854","205","690","255","434","303","106","281","931","503","427","103","24","47,133","185,314","318,991","1.85","15,604","16,150","13,866","***","30,739","***","30,164","550","125,834","1,839","11,826","1,223","8,884","2,954","***","***","21","4,112","91","9,742","20","4,112","18,101","8,337","2,012","6,301","3,038","660","5,821","2,326","364","13,504","6,124","1,116","***","***","***","1,965","***","556","1,409","449","851","60","19","96","34","44","115","562","950","48","4.5","38","50","639","170","167","18","8","***","***","***","***","342.5","240.0","304.2","225.2","***","***","***","***","983","1,072","***","***","18.7","19.5","17.8","167.8","159.4","213.2","171.9","***","***","***","***","***","***","800","1.38","0.06","603","126,159","6","88","176"
"2017100000","","2017年度","22000","","静岡県","","3,206","1,566","1,639","1,945","1,092","854","1,604","340","1,260","475","785","562","171","527","1,742","957","785","174","26","92,563","379,743","602,762","1.58","27,107","27,763","25,265","***","72,226","***","45,826","174","213,964","639","14,809","2,172","17,646","6,524","***","***","44","6,574","95","15,275","41","6,568","34,794","16,347","3,474","12,952","6,450","1,221","9,951","4,122","614","32,863","15,084","2,305","***","***","***","2,768","***","802","1,966","738","1,561","103","34","191","85","75","228","1,027","1,723","100","5.1","69","98","1,182","168","166","17","9","***","***","***","***","360.6","243.3","321.3","226.0","***","***","***","***","1,025","1,080","***","***","18.8","19.8","17.8","165.7","162.4","200.3","176.8","***","***","***","***","***","***","832","1.61","0.09","1,245","280,352","9","0","0"
"2017100000","","2017年度","23000","","愛知県","","6,508","3,241","3,267","4,069","2,334","1,735","3,265","804","2,439","907","1,532","1,129","378","931","3,754","2,116","1,638","277","31","149,520","648,078","1,143,998","1.86","40,810","38,427","34,782","***","166,826","***","83,716","192","385,399","839","25,786","3,551","41,842","15,196","***","***","191","11,951","586","35,751","190","11,947","54,494","24,304","5,893","20,644","9,405","1,922","13,913","5,318","819","67,098","26,960","3,704","***","***","***","5,489","***","1,378","4,111","1,136","3,238","245","76","394","163","145","473","1,945","3,552","191","4.7","142","248","2,269","167","164","20","10","***","***","***","***","392.2","272.9","345.0","252.4","***","***","***","***","1,086","1,174","***","***","18.4","19.2","17.2","167.2","166.6","209.1","180.0","***","***","***","***","***","***","871","1.20","0.05","2,512","784,070","17","0","0"
"2017100000","","2017年度","24000","","三重県","","1,572","760","812","941","529","413","767","174","631","231","400","290","89","251","839","463","376","81","19","43,037","168,468","259,904","1.65","13,000","13,614","11,880","***","32,551","***","24,820","322","105,869","1,040","8,295","1,401","8,535","2,650","***","***","13","4,130","26","7,925","8","4,118","15,855","7,622","1,730","5,525","2,738","487","5,094","2,270","344","13,899","5,487","718","***","***","***","1,693","***","458","1,235","350","748","52","16","86","36","42","106","518","830","46","4.9","34","47","584","165","165","20","9","***","***","***","***","371.7","253.2","329.8","237.4","***","***","***","***","1,038","1,122","***","***","18.7","19.4","17.8","164.9","163.1","206.1","173.5","***","***","***","***","***","***","820","1.27","0.15","715","140,032","11","0","0"
"2017100000","","2017年度","25000","","滋賀県","","1,212","594","619","744","422","322","596","148","469","172","297","222","79","168","668","371","297","59","12","38,510","152,689","179,958","1.33","12,056","13,048","11,008","***","25,359","***","22,229","125","93,647","542","8,650","1,445","7,194","2,665","***","***","10","2,333","13","4,063","8","2,318","13,317","6,477","1,557","4,731","2,362","499","4,448","1,950","309","10,877","4,450","597","***","***","***","1,198","***","303","895","299","584","49","17","73","30","28","91","374","651","34","4.6","28","42","437","164","162","18","9","***","***","***","***","365.0","252.1","323.2","234.5","***","***","***","***","1,043","1,089","***","***","18.4","19.2","17.4","166.3","161.9","202.3","173.1","***","***","***","***","***","***","813","1.75","0.07","705","99,909","3","0","0"
"2017100000","","2017年度","26000","","京都府","","2,287","1,081","1,206","1,340","740","599","1,053","285","947","340","607","437","165","344","1,173","634","540","126","35","69,303","293,324","396,854","1.53","19,860","20,077","16,225","***","39,811","***","41,527","151","187,378","564","15,577","2,768","11,411","5,044","***","***","2","1,826","6","5,436","2","1,785","25,517","11,301","2,880","9,604","4,523","1,078","7,509","2,935","551","17,362","6,976","1,112","***","***","***","2,348","***","594","1,754","528","1,021","103","39","130","57","56","199","722","1,142","63","4.7","50","92","866","168","162","15","8","***","***","***","***","380.5","277.6","345.6","259.4","***","***","***","***","1,117","1,146","***","***","18.1","19.0","17.0","166.2","168.4","207.9","181.1","***","***","***","***","***","***","856","2.25","0.07","1,104","167,290","14","40","40"
"2017100000","","2017年度","27000","","大阪府","","7,752","3,692","4,060","4,471","2,479","1,992","3,582","889","3,281","1,212","2,068","1,532","453","1,295","4,038","2,190","1,847","348","70","252,030","1,105,390","1,554,140","1.62","71,519","64,850","56,627","***","143,973","***","113,787","277","539,892","1,253","43,723","4,904","37,261","14,288","***","***","22","7,690","158","31,624","22","7,690","95,545","41,270","9,861","36,630","16,177","3,690","26,169","10,444","1,779","60,913","23,521","3,243","***","***","***","7,911","***","2,194","5,717","1,815","3,446","310","105","454","181","180","700","2,529","3,833","227","5.1","194","280","3,008","164","161","15","9","***","***","***","***","392.8","285.4","358.1","265.6","***","***","***","***","1,155","1,222","***","***","18.4","19.3","17.2","170.6","168.7","208.3","189.0","***","***","***","***","***","***","909","1.60","0.05","4,167","702,767","26","0","0"
"2017100000","","2017年度","28000","","兵庫県","","4,806","2,264","2,542","2,722","1,512","1,211","2,167","555","2,084","753","1,331","992","300","791","2,459","1,338","1,121","217","41","135,735","574,133","661,933","1.32","36,367","38,425","31,428","***","90,117","***","74,281","483","322,299","1,350","24,531","3,636","27,782","8,649","***","***","12","5,943","27","14,066","12","5,916","53,923","25,043","6,358","19,648","9,349","2,082","14,878","6,045","996","39,105","15,618","2,582","***","***","***","3,796","***","1,180","2,616","942","2,146","178","66","258","115","109","413","1,643","2,392","125","4.6","119","162","1,937","165","163","20","8","***","***","***","***","360.8","265.0","319.3","247.7","***","***","***","***","1,080","1,154","***","***","18.2","19.0","17.2","164.5","162.0","204.6","188.2","***","***","***","***","***","***","844","1.55","0.16","2,043","388,545","22","0","0"
"2017100000","","2017年度","29000","","奈良県","","1,184","551","633","641","353","288","501","139","542","198","345","255","78","208","566","306","260","58","16","31,528","132,518","146,878","1.34","8,317","9,708","7,021","***","12,365","***","20,243","96","85,648","356","7,686","1,120","4,623","1,525","***","***","5","1,302","1","2,092","4","1,280","12,120","5,687","1,362","4,352","2,069","448","3,478","1,364","192","5,137","2,145","361","***","***","***","1,025","***","330","695","217","501","45","13","61","28","26","100","434","554","33","5.1","27","39","507","169","167","15","8","***","***","***","***","362.9","272.1","330.4","256.8","***","***","***","***","1,043","1,047","***","***","18.2","19.3","17.2","170.0","158.0","197.9","188.3","***","***","***","***","***","***","786","2.20","0.08","450","51,757","8","1","2"
"2017100000","","2017年度","30000","","和歌山県","","832","387","445","465","254","211","374","91","367","133","234","169","45","153","380","202","178","63","21","24,958","101,545","105,480","1.29","8,471","9,115","7,824","***","11,329","***","13,636","128","58,341","382","6,049","1,296","3,986","1,226","***","***","2","1,790","4","2,609","2","1,781","9,679","4,423","1,006","3,538","1,688","334","3,236","1,194","170","5,022","2,016","298","***","***","***","756","***","226","530","219","372","28","9","37","15","21","64","295","415","17","3.6","20","23","337","167","165","16","8","***","***","***","***","343.4","252.8","308.4","237.3","***","***","***","***","1,088","1,095","***","***","19.2","20.1","18.1","157.6","147.8","193.2","181.6","***","***","***","***","***","***","777","2.78","0.22","432","50,251","0","0","0"
"2017100000","","2017年度","31000","","鳥取県","","492","232","260","290","155","135","254","35","203","78","125","86","29","87","250","130","120","31","8","19,654","75,349","112,012","1.63","7,695","7,909","7,085","***","9,076","***","9,554","122","40,256","419","4,199","888","1,807","626","***","***","1","1,182","2","2,178","1","1,181","6,691","3,335","707","2,343","1,227","250","2,489","1,124","168","4,002","1,836","242","***","***","***","659","***","151","508","139","226","18","6","29","11","14","31","169","258","13","4.5","10","14","189","167","165","14","7","***","***","***","***","304.6","233.5","277.2","220.7","***","***","***","***","973","1,105","***","***","19.6","20.3","18.9","151.6","146.0","184.9","161.3","***","***","***","***","***","***","738","1.40","0.34","323","35,112","0","0","0"
"2017100000","","2017年度","32000","","島根県","","598","284","314","349","191","158","301","47","250","93","156","108","34","108","303","162","142","35","9","22,035","83,261","129,529","1.64","8,183","8,678","7,642","***","12,415","***","11,794","130","50,704","371","4,950","1,205","2,396","860","***","***","3","1,364","7","2,767","3","1,364","7,524","3,724","832","2,550","1,310","268","2,758","1,157","157","5,589","2,558","396","***","***","***","979","***","181","798","216","278","20","6","32","12","16","33","215","312","16","4.5","12","15","236","168","165","15","7","***","***","***","***","309.1","225.8","277.4","212.7","***","***","***","***","937","999","***","***","19.4","20.2","18.7","159.8","151.1","190.4","157.0","***","***","***","***","***","***","740","2.79","0.05","397","44,173","0","0","0"
"2017100000","","2017年度","33000","","岡山県","","1,662","789","873","966","533","433","807","159","696","256","440","316","107","273","855","464","391","88","21","58,627","228,369","368,465","1.81","20,116","20,487","18,437","***","34,704","***","28,491","169","122,733","639","10,152","1,874","7,577","2,846","***","***","11","3,902","12","7,400","6","3,895","20,050","9,400","2,205","6,925","3,432","688","6,868","2,752","439","15,133","7,003","1,081","***","***","***","2,203","***","525","1,678","492","757","55","16","91","36","48","113","579","842","50","5.2","34","49","653","167","164","18","7","***","***","***","***","335.7","235.9","298.1","220.9","***","***","***","***","1,023","1,113","***","***","19.4","20.0","18.6","163.1","157.8","198.7","167.8","***","***","***","***","***","***","781","1.49","0.09","838","150,604","3","0","0"
"2017100000","","2017年度","34000","","広島県","","2,453","1,177","1,277","1,459","811","648","1,186","272","995","366","629","459","144","391","1,313","723","591","118","25","69,768","302,742","519,275","1.88","26,873","25,904","23,784","***","47,940","***","40,582","290","186,969","954","14,591","2,382","12,099","3,677","***","***","21","3,281","23","10,440","16","3,266","24,559","11,526","3,013","9,816","4,855","1,070","9,323","3,643","620","20,832","8,954","1,437","***","***","***","2,461","***","643","1,818","401","1,153","85","26","136","55","71","173","815","1,284","70","4.8","57","79","925","165","164","17","8","***","***","***","***","365.6","257.7","326.2","239.4","***","***","***","***","1,024","1,080","***","***","19.0","19.7","18.1","168.1","165.4","201.8","176.5","***","***","***","***","***","***","818","1.52","0.07","1,083","236,245","6","0","0"
"2017100000","","2017年度","35000","","山口県","","1,215","569","646","679","372","306","555","124","537","196","340","250","67","219","599","324","275","63","14","37,572","146,913","211,727","1.51","13,472","14,129","12,494","***","23,299","***","21,582","122","88,209","507","8,306","1,417","5,899","2,219","***","***","6","3,056","7","5,804","6","3,056","14,010","6,868","1,694","4,866","2,481","479","5,025","2,040","314","10,563","4,948","736","***","***","***","1,130","***","324","806","188","535","32","10","65","25","36","82","442","600","31","4.5","28","33","493","166","164","16","6","***","***","***","***","336.0","246.6","298.3","229.7","***","***","***","***","967","1,070","***","***","19.2","20.1","18.3","162.2","151.6","202.9","161.9","***","***","***","***","***","***","777","1.10","0.03","672","90,574","5","0","0"
"2017100000","","2017年度","36000","","徳島県","","658","310","348","362","198","164","308","53","296","112","185","125","39","132","303","161","142","42","16","22,127","92,773","117,876","1.41","8,314","8,721","7,869","***","10,715","***","10,870","78","48,825","235","5,004","741","2,193","731","***","***","1","1,333","1","2,478","1","1,331","7,888","3,686","809","3,107","1,591","360","2,884","1,157","164","4,441","1,992","311","***","***","***","636","***","175","461","193","293","19","6","29","11","16","46","248","325","15","4.2","15","15","279","166","165","13","6","***","***","***","***","330.4","240.8","302.3","226.5","***","***","***","***","1,061","1,033","***","***","19.5","20.2","18.8","157.8","147.2","199.6","172.3","***","***","***","***","***","***","740","1.58","0.04","382","51,548","1","0","0"
"2017100000","","2017年度","37000","","香川県","","846","406","440","491","274","217","416","75","355","132","223","157","47","150","432","236","196","47","11","31,544","119,130","195,920","1.75","11,670","11,409","10,484","***","16,383","***","17,109","83","69,373","233","6,590","1,122","3,486","1,257","***","***","9","1,484","15","4,391","6","1,484","11,833","5,562","1,369","4,076","2,075","492","4,120","1,607","272","7,076","3,081","430","***","***","***","793","***","302","491","142","400","25","6","41","16","21","55","295","436","22","4.6","19","25","331","170","167","16","8","***","***","***","***","334.8","246.2","304.1","231.1","***","***","***","***","1,008","1,122","***","***","19.4","20.0","18.6","161.0","153.1","199.1","171.4","***","***","***","***","***","***","766","1.57","0.16","533","76,142","0","0","0"
"2017100000","","2017年度","38000","","愛媛県","","1,199","560","639","679","373","307","559","120","519","187","333","230","65","223","586","313","273","71","21","40,127","159,900","236,556","1.55","14,384","14,602","13,439","***","22,399","***","20,283","41","89,632","128","7,336","1,241","6,190","1,393","***","***","3","2,339","11","5,610","2","2,327","14,203","6,925","1,662","5,214","2,648","505","4,975","2,038","282","9,752","4,233","646","***","***","***","1,179","***","312","867","240","547","37","12","54","20","32","82","430","601","29","4.3","28","36","483","168","165","14","6","***","***","***","***","325.9","222.4","295.4","210.1","***","***","***","***","977","1,061","***","***","19.7","20.2","19.0","163.2","147.1","192.4","170.8","***","***","***","***","***","***","739","1.31","0.08","543","77,369","2","0","0"
"2017100000","","2017年度","39000","","高知県","","633","295","338","359","188","172","311","49","273","107","166","110","36","127","295","149","146","47","16","27,361","106,435","114,180","1.20","9,327","9,647","9,010","***","9,674","***","10,979","54","48,458","201","3,685","844","2,383","839","***","***","7","1,028","1","1,753","7","1,015","10,531","5,021","1,209","3,653","1,837","356","3,326","1,278","186","4,355","1,853","272","***","***","***","567","***","182","385","103","280","21","8","33","12","21","44","226","318","16","4.5","15","17","252","168","166","11","6","***","***","***","***","308.9","236.1","286.2","224.7","***","***","***","***","931","1,071","***","***","19.3","20.0","18.7","160.4","148.7","192.8","158.2","***","***","***","***","***","***","737","2.69","0.08","431","35,556","4","7","10"
"2017100000","","2017年度","40000","","福岡県","","4,425","2,063","2,362","2,558","1,398","1,160","2,072","485","1,867","665","1,202","840","270","756","2,285","1,219","1,067","218","49","161,668","647,527","884,314","1.54","49,908","48,239","42,871","***","101,306","***","73,277","148","309,597","634","23,938","3,675","24,230","9,550","***","***","14","6,884","83","17,624","11","6,853","59,859","28,471","6,918","20,839","10,250","2,158","18,103","7,713","1,364","42,199","18,608","3,407","***","***","***","4,737","***","1,444","3,293","893","1,982","174","59","271","111","100","389","1,469","2,192","140","5.5","103","167","1,747","168","164","16","7","***","***","***","***","351.4","246.4","316.2","230.7","***","***","***","***","992","1,038","***","***","19.0","19.7","18.1","159.9","157.8","201.7","194.2","***","***","***","***","***","***","789","1.39","0.04","1,785","312,784","2","27","13"
"2017100000","","2017年度","41000","","佐賀県","","710","331","379","423","226","197","359","63","287","105","182","117","43","126","360","184","176","49","13","29,687","115,686","131,980","1.25","10,555","11,218","8,967","***","15,245","***","15,002","96","65,553","295","6,372","1,112","3,820","1,150","***","***","17","2,597","0","4,352","10","2,584","10,322","5,265","1,187","3,644","1,943","434","3,927","1,781","247","6,512","3,173","482","***","***","***","924","***","323","601","173","339","24","8","39","17","17","46","239","374","20","4.8","16","23","268","172","168","16","7","***","***","***","***","309.1","216.7","277.6","201.4","***","***","***","***","946","1,042","***","***","19.7","20.3","19.2","158.7","148.2","191.8","165.3","***","***","***","***","***","***","737","2.35","0.09","384","51,056","1","0","0"
"2017100000","","2017年度","42000","","長崎県","","1,176","542","634","672","361","310","569","102","504","181","324","222","67","216","581","301","281","74","15","48,190","181,004","201,911","1.20","16,786","17,608","15,795","***","20,713","***","26,619","116","104,866","380","10,196","2,116","5,797","1,758","***","***","5","3,395","1","4,920","5","3,342","18,859","9,316","1,939","6,200","3,184","553","6,408","2,706","326","9,354","4,228","668","***","***","***","1,423","***","417","1,006","299","547","34","10","56","21","28","82","414","597","29","4.2","27","36","467","169","167","18","8","***","***","***","***","314.9","226.6","281.5","212.6","***","***","***","***","948","1,093","***","***","19.9","20.5","19.3","154.7","148.1","198.8","155.6","***","***","***","***","***","***","737","1.60","0.04","487","65,706","3","252","568"
"2017100000","","2017年度","43000","","熊本県","","1,526","709","817","881","468","413","747","133","645","241","404","269","93","282","761","388","373","93","25","48,420","195,080","321,784","1.64","18,076","18,400","16,497","***","28,963","***","25,233","69","112,591","254","10,019","1,732","7,768","2,399","***","***","3","3,598","14","6,701","3","3,580","19,021","10,033","2,548","6,738","3,614","752","6,867","3,140","477","13,195","6,290","859","***","***","***","2,099","***","537","1,562","441","702","49","15","86","33","36","104","537","777","40","4.6","37","49","603","168","168","17","7","***","***","***","***","314.2","228.2","281.6","213.6","***","***","***","***","920","1,031","***","***","19.2","20.0","18.4","151.3","144.6","191.5","169.1","***","***","***","***","***","***","737","2.46","0.26","643","77,083","1","99","0"
"2017100000","","2017年度","44000","","大分県","","1,007","470","537","573","315","258","479","94","434","155","278","196","55","182","506","268","238","58","9","36,648","139,139","195,162","1.45","14,888","15,199","13,674","***","17,280","***","20,732","101","83,252","399","9,132","1,368","4,318","1,210","***","***","4","2,630","14","4,714","4","2,622","14,461","7,353","1,786","4,806","2,550","552","5,965","2,709","442","7,652","3,681","586","***","***","***","1,180","***","409","771","165","462","32","9","52","21","25","70","362","510","27","4.6","23","31","408","168","167","17","7","***","***","***","***","316.4","230.6","281.1","215.3","***","***","***","***","928","1,004","***","***","19.8","20.5","19.1","157.9","152.2","203.5","163.3","***","***","***","***","***","***","737","2.01","0.14","498","71,647","0","0","0"
"2017100000","","2017年度","45000","","宮崎県","","941","436","505","549","292","257","470","79","392","144","249","172","55","165","471","239","232","65","13","40,477","156,576","222,923","1.44","16,889","17,651","16,072","***","17,343","***","19,106","73","79,440","232","7,981","1,167","3,659","1,233","***","***","2","2,496","12","4,148","2","2,492","15,524","7,774","1,761","5,406","2,867","593","6,471","2,874","418","7,660","3,937","617","***","***","***","1,208","***","383","825","224","444","29","9","51","20","22","69","322","493","26","4.7","26","26","365","170","167","14","6","***","***","***","***","288.6","211.7","262.8","200.5","***","***","***","***","893","1,018","***","***","19.5","20.3","18.6","154.6","145.0","186.5","167.1","***","***","***","***","***","***","737","1.64","0.22","504","49,922","2","0","0"
"2017100000","","2017年度","46000","","鹿児島県","","1,407","650","757","800","426","374","665","135","606","223","383","269","78","260","687","353","334","91","21","63,853","245,589","290,287","1.23","23,321","24,075","22,147","***","25,070","***","34,891","213","150,181","858","14,110","2,314","6,504","1,799","***","***","11","4,040","16","5,937","7","4,029","23,423","12,329","2,463","8,342","4,693","928","8,505","3,859","422","11,919","5,906","1,103","***","***","***","1,945","***","634","1,311","334","643","47","16","71","27","33","103","500","703","41","5.1","33","44","568","170","167","13","6","***","***","***","***","306.2","219.2","280.4","206.9","***","***","***","***","892","1,054","***","***","19.3","20.1","18.5","155.3","141.8","185.4","160.7","***","***","***","***","***","***","737","2.12","0.11","505","73,536","2","110","110"
"2017100000","","2017年度","47000","","沖縄県","","1,193","581","612","704","384","320","603","100","489","197","292","187","87","215","615","324","291","74","12","51,019","207,960","217,165","1.13","14,128","15,403","13,748","***","19,001","***","20,091","58","97,136","325","8,655","1,261","4,782","1,526","***","***","19","1,989","0","3,186","5","1,917","16,191","7,262","1,459","6,071","2,834","536","4,789","2,008","267","7,472","3,125","665","***","***","***","1,899","***","472","1,427","372","530","66","22","75","32","21","111","373","588","47","6.6","32","47","447","168","165","13","7","***","***","***","***","288.2","229.1","267.1","216.5","***","***","***","***","918","910","***","***","19.5","20.4","18.7","142.1","141.2","176.3","163.5","***","***","***","***","***","***","737","2.44","0.08","489","56,961","2","135","251"
"2022100000","","2022年度","00000","","全国","","110,195","53,135","57,061","67,060","36,706","30,354","55,830","11,119","43,135","16,429","26,706","19,395","6,018","17,477","60,772","32,677","28,095","5,108","1,018","2,898,740","14,137,825","18,489,103","1.31","654,342","650,526","***","83,245","***","2,790,674","1,672,014","***","8,794,910","***","496,799","***","***","***","840,034","316,221","388","127,074","1,081","443,980","335","126,675","***","***","***","***","***","***","***","***","***","***","***","***","1,346,611","583,765","113,004","102,537","43.9","***","***","***","51,322","5,168","1,605","6,480","2,786","3,125","7,827","34,884","58,930","3,027","4.5","2,452","3,569","38,372","***","***","***","***","167","163","14","8","***","***","***","***","376.5","276.3","342.0","258.9","***","***","1,270","1,624","17.6","18.5","16.6","***","***","***","***","183.4","177.6","204.1","201.8","229.7","227.2","961","2.06","0.09","47,495","9,927,292","248","707","1,228"
"2022100000","","2022年度","01000","","北海道","","4,594","2,141","2,452","2,630","1,425","1,205","2,187","440","1,964","717","1,247","866","230","860","2,403","1,283","1,120","186","37","166,170","720,500","836,962","1.15","29,461","29,643","***","1,215","***","104,120","67,261","***","367,123","***","17,123","***","***","***","33,039","10,930","5","5,176","2","17,960","5","5,143","***","***","***","***","***","***","***","***","***","***","***","***","55,502","27,400","6,941","4,768","41.7","***","***","***","2,016","181","54","254","100","148","320","1,614","2,326","109","4.2","106","150","1,762","***","***","***","***","170","161","14","6","***","***","***","***","326.5","237.6","297.7","223.6","***","***","1,119","1,271","18.1","19.0","17.1","***","***","***","***","172.6","167.6","201.6","205.5","217.1","220.7","920","3.88","0.10","2,836","310,083","7","0","0"
"2022100000","","2022年度","02000","","青森県","","1,078","502","576","611","327","284","542","68","466","174","292","196","53","215","526","274","252","61","22","44,051","182,107","218,576","1.18","12,895","13,576","***","1,170","***","23,488","18,746","***","95,976","***","7,428","***","***","***","5,622","1,470","0","1,936","0","4,736","0","1,935","***","***","***","***","***","***","***","***","***","***","***","***","12,224","5,914","1,111","1,156","53.1","***","***","***","473","37","11","58","22","37","74","392","549","23","3.8","27","27","426","***","***","***","***","170","165","12","6","***","***","***","***","291.8","231.3","267.4","219.1","***","***","1,058","1,356","19.3","19.8","18.8","***","***","***","***","165.7","162.7","182.2","198.3","221.3","197.9","853","3.29","0.07","489","51,523","0","0","0"
"2022100000","","2022年度","03000","","岩手県","","1,055","505","550","623","340","283","549","74","432","165","267","182","53","196","548","292","256","58","14","41,815","163,170","217,348","1.32","13,343","14,076","***","1,549","***","24,150","21,339","***","89,842","***","9,546","***","***","***","4,344","1,326","0","2,223","0","5,942","0","2,223","***","***","***","***","***","***","***","***","***","***","***","***","12,524","5,944","1,280","1,308","51.5","***","***","***","471","35","11","66","26","39","63","367","554","26","4.1","22","27","395","***","***","***","***","168","164","13","6","***","***","***","***","301.7","225.3","275.5","215.0","***","***","1,099","1,308","19.2","19.7","18.6","***","***","***","***","170.1","173.9","189.9","181.3","213.0","216.8","854","2.24","0.06","670","73,016","0","0","0"
"2022100000","","2022年度","04000","","宮城県","","2,018","977","1,042","1,202","665","536","1,030","170","816","311","505","368","119","327","1,095","596","499","88","17","62,696","277,647","408,747","1.40","15,899","15,820","***","1,893","***","51,352","31,791","***","149,173","***","9,425","***","***","***","12,976","5,265","3","2,979","0","10,092","3","2,975","***","***","***","***","***","***","***","***","***","***","***","***","25,025","10,956","2,140","1,974","45.2","***","***","***","914","82","26","131","54","58","152","659","1,053","55","4.6","53","68","736","***","***","***","***","167","163","16","8","***","***","***","***","347.4","253.3","311.4","235.5","***","***","1,138","1,211","18.4","19.1","17.7","***","***","***","***","174.7","169.5","231.9","195.2","223.7","211.7","883","1.85","0.03","995","134,299","1","31","0"
"2022100000","","2022年度","05000","","秋田県","","843","394","449","474","260","215","418","56","369","135","234","152","37","179","415","222","194","48","10","31,137","118,836","178,752","1.49","10,713","11,121","***","743","***","19,755","15,034","***","67,806","***","7,251","***","***","***","3,964","1,277","0","1,630","0","4,828","0","1,630","***","***","***","***","***","***","***","***","***","***","***","***","10,447","5,107","981","954","56.0","***","***","***","370","28","8","43","16","30","49","319","430","18","3.8","17","19","345","***","***","***","***","170","166","11","5","***","***","***","***","312.8","230.7","288.3","220.8","***","***","1,030","1,196","19.0","19.5","18.5","***","***","***","***","165.4","172.7","188.9","193.2","196.0","207.2","853","1.37","0.03","471","64,119","0","0","0"
"2022100000","","2022年度","06000","","山形県","","926","445","481","552","299","254","488","64","374","146","228","152","48","173","480","252","228","54","17","33,345","126,916","210,818","1.57","10,990","11,259","***","796","***","22,679","16,178","***","70,794","***","7,178","***","***","***","4,574","1,884","1","2,035","0","6,490","1","2,020","***","***","***","***","***","***","***","***","***","***","***","***","11,374","5,429","1,050","985","51.9","***","***","***","429","32","9","54","20","30","55","318","495","22","4.0","18","23","338","***","***","***","***","169","165","12","6","***","***","***","***","307.7","222.6","282.4","211.4","***","***","1,051","1,277","19.1","19.5","18.5","***","***","***","***","168.7","164.5","183.0","178.0","225.5","195.8","854","2.98","0.07","604","70,732","2","0","0"
